Location,县区,目标月份,省,市,县,观测点,经度,纬度,记录人,时间起,时间止,Species,IOC_14.1,English,旧学名,Order,Family,number,报告ID,dist_km
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,冕雀,Melanochlora sultanea,Sultan Tit,Melanochlora sultanea,PASSERIFORMES,Paridae,1,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,冕雀,Melanochlora sultanea,Sultan Tit,Melanochlora sultanea,PASSERIFORMES,Paridae,1,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,冕雀,Melanochlora sultanea,Sultan Tit,Melanochlora sultanea,PASSERIFORMES,Paridae,1,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,冕雀,Melanochlora sultanea,Sultan Tit,Melanochlora sultanea,PASSERIFORMES,Paridae,1,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,冕雀,Melanochlora sultanea,Sultan Tit,Melanochlora sultanea,PASSERIFORMES,Paridae,1,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,古铜色卷尾,Dicrurus aeneus,Bronzed Drongo,Dicrurus aeneus,PASSERIFORMES,Dicruridae,5,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,古铜色卷尾,Dicrurus aeneus,Bronzed Drongo,Dicrurus aeneus,PASSERIFORMES,Dicruridae,2,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,古铜色卷尾,Dicrurus aeneus,Bronzed Drongo,Dicrurus aeneus,PASSERIFORMES,Dicruridae,2,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,古铜色卷尾,Dicrurus aeneus,Bronzed Drongo,Dicrurus aeneus,PASSERIFORMES,Dicruridae,2,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,古铜色卷尾,Dicrurus aeneus,Bronzed Drongo,Dicrurus aeneus,PASSERIFORMES,Dicruridae,2,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,塔尾树鹊,Temnurus temnurus,Ratchet-tailed Treepie,Temnurus temnurus,PASSERIFORMES,Corvidae,2,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,塔尾树鹊,Temnurus temnurus,Ratchet-tailed Treepie,Temnurus temnurus,PASSERIFORMES,Corvidae,1,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
